Country,Region,Year,Happiness Rank,Happiness Score,Economy GDP per Capita,Family Social Support,Health Life Expectancy,Freedom to Make Choices,Perceptions of Corruption,Generosity,Dystopia Residual,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020"
Bangladesh,South Asia,2019,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166,,164689383,163046161,4.59
Bangladesh,South Asia,2020,107,4.833,0.556,0.869,0.695,0.604,0.177,0.177,1.755,164689383,163046161,4.59
Bangladesh,South Asia,2021,101,5.025,0.635,0.52,0.514,0.603,0.164,0.161,2.427,164689383,163046161,4.59
Bangladesh,South Asia,2022,94,5.155,1.06,0.614,0.581,0.622,0.187,0.125,1.967,164689383,163046161,4.59
Belarus,Commonwealth of Independent States,2015,59,5.813,1.032,1.233,0.736,0.379,0.191,0.11,2.131,9449321,9466856,15.07
Belarus,Commonwealth of Independent States,2016,61,5.802,1.131,1.05,0.631,0.291,0.175,0.139,2.386,9449321,9466856,15.07
Belarus,Commonwealth of Independent States,2017,67,5.569,1.157,1.445,0.638,0.295,0.156,0.155,1.723,9449321,9466856,15.07
Belarus,Commonwealth of Independent States,2018,73,5.483,1.039,1.498,0.7,0.307,0.154,0.101,,9449321,9466856,15.07
Belarus,Commonwealth of Independent States,2019,81,5.323,1.067,1.465,0.789,0.235,0.142,0.094,,9449321,9466856,15.07
Belarus,Commonwealth of Independent States,2020,75,5.54,1.019,1.387,0.753,0.291,0.09,0.194,1.87,9449321,9466856,15.07
Belarus,Commonwealth of Independent States,2021,75,5.534,1.124,1.007,0.56,0.326,0.199,0.07,2.247,9449321,9466856,15.07
Belarus,Commonwealth of Independent States,2022,65,5.821,1.562,1.157,0.629,0.342,0.282,0.04,1.811,9449321,9466856,15.07
Belgium,Western Europe,2015,19,6.937,1.308,1.286,0.897,0.585,0.225,0.223,2.415,11589616,11484055,168.496
Belgium,Western Europe,2016,18,6.929,1.425,1.052,0.82,0.514,0.262,0.242,2.614,11589616,11484055,168.496
Belgium,Western Europe,2017,17,6.891,1.464,1.462,0.818,0.54,0.251,0.232,2.124,11589616,11484055,168.496
Belgium,Western Europe,2018,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188,,11589616,11484055,168.496
Belgium,Western Europe,2019,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16,,11589616,11484055,168.496
Belgium,Western Europe,2020,20,6.864,1.296,1.399,0.965,0.5,0.147,0.209,2.349,11589616,11484055,168.496
Belgium,Western Europe,2021,20,6.834,1.463,0.998,0.747,0.489,0.187,0.088,2.862,11589616,11484055,168.496
Belgium,Western Europe,2022,19,6.805,1.907,1.106,0.764,0.492,0.204,0.049,2.283,11589616,11484055,168.496
Benin,Sub-Saharan Africa,2015,155,3.34,0.287,0.354,0.319,0.485,0.08,0.183,1.633,12123198,11801151,0.363
Benin,Sub-Saharan Africa,2016,153,3.484,0.395,0.104,0.21,0.397,0.067,0.202,2.18,12123198,11801151,0.363
Benin,Sub-Saharan Africa,2017,143,3.657,0.431,0.435,0.21,0.426,0.061,0.208,1.886,12123198,11801151,0.363
Benin,Sub-Saharan Africa,2018,136,4.141,0.378,0.372,0.24,0.44,0.067,0.163,,12123198,11801151,0.363
Benin,Sub-Saharan Africa,2019,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175,,12123198,11801151,0.363
Benin,Sub-Saharan Africa,2020,86,5.216,0.366,0.352,0.328,0.406,0.197,0.126,3.441,12123198,11801151,0.363
Benin,Sub-Saharan Africa,2021,99,5.045,0.507,0.058,0.196,0.457,0.178,0.166,3.482,12123198,11801151,0.363
Benin,Sub-Saharan Africa,2022,115,4.623,0.932,0.064,0.335,0.479,0.23,0.127,2.458,12123198,11801151,0.363
Bolivia,Latin America and Caribbean,2015,51,5.89,0.681,0.978,0.539,0.574,0.088,0.205,2.823,11673029,11513100,78.514
Bolivia,Latin America and Caribbean,2016,59,5.822,0.794,0.838,0.47,0.51,0.077,0.217,2.916,11673029,11513100,78.514
Bolivia,Latin America and Caribbean,2017,58,5.823,0.834,1.228,0.474,0.559,0.06,0.226,2.443,11673029,11513100,78.514
Bolivia,Latin America and Caribbean,2018,62,5.752,0.751,1.223,0.508,0.606,0.054,0.141,,11673029,11513100,78.514
Bolivia,Latin America and Caribbean,2019,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137,,11673029,11513100,78.514
Bolivia,Latin America and Caribbean,2020,65,5.747,0.731,1.142,0.662,0.574,0.138,0.073,2.426,11673029,11513100,78.514
Bolivia,Latin America and Caribbean,2021,69,5.716,0.842,0.782,0.486,0.6,0.064,0.138,2.85,11673029,11513100,78.514
Bolivia,Latin America and Caribbean,2022,71,5.6,1.256,0.88,0.555,0.627,0.064,0.112,2.17,11673029,11513100,78.514
Bosnia and Herzegovina,Central and Eastern Europe,2015,96,4.949,0.832,0.919,0.791,0.092,0.002,0.248,2.64,3280815,3301000,123.445
Bosnia and Herzegovina,Central and Eastern Europe,2016,87,5.163,0.934,0.644,0.708,0.095,0,0.299,2.484,3280815,3301000,123.445
Bosnia and Herzegovina,Central and Eastern Europe,2017,90,5.182,0.982,1.069,0.705,0.204,0,0.329,1.892,3280815,3301000,123.445
Bosnia and Herzegovina,Central and Eastern Europe,2018,93,5.129,0.915,1.078,0.758,0.28,0,0.216,,3280815,3301000,123.445
Bosnia and Herzegovina,Central and Eastern Europe,2019,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263,,3280815,3301000,123.445
Bosnia and Herzegovina,Central and Eastern Europe,2020,69,5.674,0.918,1.204,0.814,0.305,0.264,0.001,2.167,3280815,3301000,123.445
Bosnia and Herzegovina,Central and Eastern Europe,2021,64,5.813,1.032,0.919,0.618,0.395,0.005,0.261,2.583,3280815,3301000,123.445
Bosnia and Herzegovina,Central and Eastern Europe,2022,67,5.768,1.468,1.068,0.665,0.448,0.006,0.244,1.869,3280815,3301000,123.445
Botswana,Sub-Saharan Africa,2015,128,4.332,0.994,1.105,0.048,0.495,0.125,0.105,1.462,2351625,2303697,1.786
Botswana,Sub-Saharan Africa,2016,137,3.974,1.094,0.892,0.348,0.441,0.108,0.124,0.967,2351625,2303697,1.786
Botswana,Sub-Saharan Africa,2017,142,3.766,1.122,1.222,0.342,0.505,0.099,0.099,0.378,2351625,2303697,1.786
Botswana,Sub-Saharan Africa,2018,146,3.59,1.017,1.174,0.417,0.557,0.092,0.042,,2351625,2303697,1.786
Botswana,Sub-Saharan Africa,2019,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025,,2351625,2303697,1.786
Botswana,Sub-Saharan Africa,2020,147,3.479,0.998,1.086,0.494,0.509,0.033,0.102,0.257,2351625,2303697,1.786
Botswana,Sub-Saharan Africa,2021,146,3.467,1.099,0.724,0.34,0.539,0.088,0.027,0.648,2351625,2303697,1.786
Botswana,Sub-Saharan Africa,2022,142,3.471,1.503,0.815,0.28,0.571,0.102,0.012,0.187,2351625,2303697,1.786
Brazil,Latin America and Caribbean,2015,16,6.983,0.981,1.233,0.697,0.49,0.175,0.146,3.26,212559409,211049527,91.715
Brazil,Latin America and Caribbean,2016,17,6.952,1.088,1.039,0.614,0.404,0.142,0.158,3.57,212559409,211049527,91.715
Brazil,Latin America and Caribbean,2017,22,6.635,1.107,1.431,0.617,0.437,0.111,0.162,2.769,212559409,211049527,91.715
Brazil,Latin America and Caribbean,2018,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,,212559409,211049527,91.715
Brazil,Latin America and Caribbean,2019,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099,,212559409,211049527,91.715
Brazil,Latin America and Caribbean,2020,32,6.376,0.953,1.363,0.766,0.483,0.132,0.107,2.572,212559409,211049527,91.715
Brazil,Latin America and Caribbean,2021,35,6.33,1.028,0.944,0.571,0.514,0.117,0.142,3.15,212559409,211049527,91.715
Brazil,Latin America and Caribbean,2022,38,6.293,1.462,1.044,0.615,0.546,0.134,0.131,2.361,212559409,211049527,91.715
Bulgaria,Central and Eastern Europe,2015,134,4.218,1.012,1.106,0.766,0.306,0.009,0.119,0.9,6948445,6975761,109.032
Bulgaria,Central and Eastern Europe,2016,129,4.217,1.113,0.925,0.678,0.212,0.006,0.128,1.154,6948445,6975761,109.032
Bulgaria,Central and Eastern Europe,2017,105,4.714,1.161,1.434,0.708,0.289,0.011,0.113,0.996,6948445,6975761,109.032
Bulgaria,Central and Eastern Europe,2018,100,4.933,1.054,1.515,0.712,0.359,0.009,0.064,,6948445,6975761,109.032
Bulgaria,Central and Eastern Europe,2019,97,5.011,1.092,1.513,0.815,0.311,0.004,0.081,,6948445,6975761,109.032
Bulgaria,Central and Eastern Europe,2020,96,5.102,1.047,1.461,0.778,0.418,0.104,0,1.295,6948445,6975761,109.032
Bulgaria,Central and Eastern Europe,2021,88,5.266,1.181,1.055,0.583,0.494,0.005,0.125,1.823,6948445,6975761,109.032
Bulgaria,Central and Eastern Europe,2022,85,5.371,1.625,1.163,0.64,0.563,0.021,0.123,1.235,6948445,6975761,109.032
Burkina Faso,Sub-Saharan Africa,2015,152,3.587,0.258,0.852,0.271,0.395,0.128,0.217,1.465,20903278,20321378,0.407
Burkina Faso,Sub-Saharan Africa,2016,145,3.739,0.32,0.631,0.213,0.334,0.125,0.244,1.873,20903278,20321378,0.407
Burkina Faso,Sub-Saharan Africa,2017,134,4.032,0.35,1.043,0.216,0.324,0.12,0.251,1.727,20903278,20321378,0.407
Burkina Faso,Sub-Saharan Africa,2018,121,4.424,0.314,1.097,0.254,0.312,0.128,0.175,,20903278,20321378,0.407
Burkina Faso,Sub-Saharan Africa,2019,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177,,20903278,20321378,0.407
Burkina Faso,Sub-Saharan Africa,2020,112,4.769,0.302,0.929,0.313,0.322,0.186,0.126,2.589,20903278,20321378,0.407
Burkina Faso,Sub-Saharan Africa,2021,113,4.834,0.364,0.472,0.179,0.381,0.122,0.182,3.133,20903278,20321378,0.407
Burkina Faso,Sub-Saharan Africa,2022,113,4.67,0.779,0.565,0.32,0.382,0.126,0.186,2.313,20903278,20321378,0.407
Burundi,Sub-Saharan Africa,2015,157,2.905,0.015,0.416,0.224,0.119,0.101,0.197,1.833,11890781,11530580,0.017
Burundi,Sub-Saharan Africa,2016,157,2.905,0.068,0.234,0.157,0.043,0.094,0.203,2.14,11890781,11530580,0.017
Burundi,Sub-Saharan Africa,2017,154,2.905,0.092,0.63,0.152,0.06,0.084,0.204,1.683,11890781,11530580,0.017
Burundi,Sub-Saharan Africa,2018,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149,,11890781,11530580,0.017
Burundi,Sub-Saharan Africa,2019,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176,,11890781,11530580,0.017
Burundi,Sub-Saharan Africa,2020,140,3.775,0,0.404,0.295,0.275,0.187,0.212,2.42,11890781,11530580,0.017
Burundi,Sub-Saharan Africa,2021,140,3.775,0,0.062,0.155,0.298,0.212,0.172,2.876,11890781,11530580,0.017
Cambodia,Southeast Asia,2015,145,3.819,0.46,0.627,0.611,0.662,0.072,0.404,0.982,16718971,16486542,0
Cambodia,Southeast Asia,2016,140,3.907,0.556,0.538,0.425,0.589,0.081,0.403,1.316,16718971,16486542,0
Cambodia,Southeast Asia,2017,129,4.168,0.602,1.006,0.43,0.633,0.068,0.386,1.43,16718971,16486542,0
Cambodia,Southeast Asia,2018,120,4.433,0.549,1.088,0.457,0.696,0.065,0.256,,16718971,16486542,0
Cambodia,Southeast Asia,2019,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232,,16718971,16486542,0
Cambodia,Southeast Asia,2020,106,4.848,0.545,1.071,0.588,0.675,0.233,0.073,1.663,16718971,16486542,0
Cambodia,Southeast Asia,2021,114,4.83,0.603,0.68,0.426,0.702,0.061,0.21,2.148,16718971,16486542,0
Cambodia,Southeast Asia,2022,114,4.64,1.019,0.732,0.505,0.74,0.068,0.166,1.41,16718971,16486542,0
Cameroon,Sub-Saharan Africa,2015,133,4.252,0.423,0.888,0.234,0.493,0.058,0.206,1.951,26545864,25876380,1.688
Cameroon,Sub-Saharan Africa,2016,114,4.513,0.525,0.625,0.127,0.427,0.061,0.227,2.52,26545864,25876380,1.688
Cameroon,Sub-Saharan Africa,2017,107,4.695,0.564,0.946,0.133,0.43,0.051,0.236,2.334,26545864,25876380,1.688
Cameroon,Sub-Saharan Africa,2018,99,4.975,0.535,0.891,0.182,0.454,0.043,0.183,,26545864,25876380,1.688
Cameroon,Sub-Saharan Africa,2019,96,5.044,0.549,0.91,0.331,0.381,0.037,0.187,,26545864,25876380,1.688
Cameroon,Sub-Saharan Africa,2020,98,5.085,0.504,0.9,0.27,0.439,0.198,0.054,2.719,26545864,25876380,1.688
Cameroon,Sub-Saharan Africa,2021,91,5.142,0.543,0.556,0.159,0.425,0.058,0.205,3.195,26545864,25876380,1.688
Cameroon,Sub-Saharan Africa,2022,102,5.048,0.968,0.672,0.317,0.397,0.074,0.152,2.469,26545864,25876380,1.688
Canada,North America and ANZ,2015,5,7.427,1.326,1.323,0.906,0.633,0.33,0.458,2.452,37742157,37589262,41.418
Canada,North America and ANZ,2016,6,7.404,1.44,1.096,0.828,0.574,0.313,0.448,2.75,37742157,37589262,41.418
Canada,North America and ANZ,2017,7,7.316,1.479,1.481,0.835,0.611,0.287,0.436,2.187,37742157,37589262,41.418
Canada,North America and ANZ,2018,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,,37742157,37589262,41.418
Canada,North America and ANZ,2019,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285,,37742157,37589262,41.418
Canada,North America and ANZ,2020,11,7.232,1.302,1.435,1.023,0.644,0.282,0.352,2.195,37742157,37589262,41.418
Canada,North America and ANZ,2021,14,7.103,1.447,1.044,0.798,0.648,0.335,0.246,2.585,37742157,37589262,41.418
Canada,North America and ANZ,2022,15,7.025,1.886,1.188,0.783,0.659,0.368,0.217,1.924,37742157,37589262,41.418
Chad,Sub-Saharan Africa,2015,149,3.667,0.342,0.761,0.15,0.235,0.053,0.184,1.943,16425859,15946876,0.633
Chad,Sub-Saharan Africa,2016,144,3.763,0.422,0.632,0.038,0.128,0.05,0.187,2.36,16425859,15946876,0.633
Chad,Sub-Saharan Africa,2017,137,3.936,0.438,0.954,0.041,0.162,0.054,0.216,2.71,16425859,15946876,0.633
Chad,Sub-Saharan Africa,2018,131,4.301,0.358,0.907,0.053,0.189,0.06,0.181,,16425859,15946876,0.633
Chad,Sub-Saharan Africa,2019,132,4.35,0.35,0.766,0.192,0.174,0.078,0.198,,16425859,15946876,0.633
Chad,Sub-Saharan Africa,2020,127,4.423,0.302,0.739,0.109,0.229,0.211,0.086,2.747,16425859,15946876,0.633
Chad,Sub-Saharan Africa,2021,128,4.355,0.255,0.353,0,0.24,0.084,0.215,3.29,16425859,15946876,0.633
Chad,Sub-Saharan Africa,2022,130,4.251,0.662,0.506,0.225,0.18,0.077,0.182,2.419,16425859,15946876,0.633
Chile,Latin America and Caribbean,2015,27,6.67,1.107,1.124,0.859,0.441,0.129,0.334,2.676,19116209,18952038,86.879
Chile,Latin America and Caribbean,2016,24,6.705,1.217,0.906,0.819,0.378,0.115,0.316,2.955,19116209,18952038,86.879
Chile,Latin America and Caribbean,2017,20,6.652,1.253,1.284,0.819,0.377,0.082,0.327,2.51,19116209,18952038,86.879
Chile,Latin America and Caribbean,2018,25,6.476,1.131,1.331,0.808,0.431,0.061,0.197,,19116209,18952038,86.879
Chile,Latin America and Caribbean,2019,26,6.444,1.159,1.369,0.92,0.357,0.056,0.187,,19116209,18952038,86.879
Chile,Latin America and Caribbean,2020,39,6.228,1.097,1.323,0.889,0.417,0.156,0.063,2.283,19116209,18952038,86.879
Chile,Latin America and Caribbean,2021,43,6.172,1.2,0.946,0.678,0.438,0.07,0.159,2.682,19116209,18952038,86.879
Chile,Latin America and Caribbean,2022,44,6.172,1.651,1.08,0.748,0.46,0.069,0.124,2.4,19116209,18952038,86.879
China,East Asia,2015,84,5.14,0.89,0.947,0.817,0.517,0.028,0.082,1.86,1439323774,1397715000,0.332
China,East Asia,2016,83,5.245,1.028,0.794,0.736,0.44,0.027,0.05,2.171,1439323774,1397715000,0.332
China,East Asia,2017,79,5.273,1.081,1.161,0.741,0.473,0.023,0.029,1.765,1439323774,1397715000,0.332
China,East Asia,2018,86,5.246,0.989,1.142,0.799,0.597,0.103,0.029,,1439323774,1397715000,0.332
China,East Asia,2019,93,5.191,1.029,1.125,0.893,0.521,0.1,0.058,,1439323774,1397715000,0.332
China,East Asia,2020,94,5.124,0.991,1.132,0.867,0.602,0.079,0.117,1.336,1439323774,1397715000,0.332
China,East Asia,2021,84,5.339,1.061,0.785,0.665,0.636,0.117,0.093,1.982,1439323774,1397715000,0.332
China,East Asia,2022,72,5.585,1.508,0.958,0.705,0.656,0.142,0.099,1.516,1439323774,1397715000,0.332
Colombia,Latin America and Caribbean,2015,33,6.477,0.919,1.24,0.691,0.535,0.051,0.184,2.857,50882884,50339443,84.926
Colombia,Latin America and Caribbean,2016,31,6.481,1.03,1.022,0.597,0.447,0.054,0.156,3.175,50882884,50339443,84.926
Colombia,Latin America and Caribbean,2017,36,6.357,1.071,1.402,0.595,0.477,0.047,0.149,2.616,50882884,50339443,84.926
Colombia,Latin America and Caribbean,2018,37,6.26,0.96,1.439,0.635,0.531,0.039,0.099,,50882884,50339443,84.926
Colombia,Latin America and Caribbean,2019,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099,,50882884,50339443,84.926
Colombia,Latin America and Caribbean,2020,44,6.163,0.932,1.334,0.81,0.527,0.092,0.046,2.422,50882884,50339443,84.926
Colombia,Latin America and Caribbean,2021,52,6.012,1.021,0.866,0.615,0.554,0.063,0.1,2.794,50882884,50339443,84.926
Colombia,Latin America and Caribbean,2022,66,5.781,1.452,0.929,0.72,0.545,0.077,0.087,1.971,50882884,50339443,84.926
Comoros,Sub-Saharan Africa,2015,140,3.956,0.239,0.793,0.363,0.229,0.199,0.174,1.958,869595,850886,1.15
